price_total,location,property_type,square_meters,construction_type,construction_year,floor_number,floor_type
197000,"Студентски Град, София",Двустаен апартамент в София,60 кв.м,Тухла,2018 г.,7 етаж,Непоследен
255000,"Студентски Град, София",Тристаен апартамент в София,79 кв.м,Тухла,2020 г.,3 етаж,Непоследен
204744,"Малинова Долина, София",Тристаен апартамент в София,100.45 кв.м,Тухла,Not Available,1 етаж,Not Available
355000,"Бъкстон, София",Тристаен апартамент в София,142 кв.м,Тухла,2008 г.,2 етаж,Непоследен
465000,"Драгалевци, София",Многостаен апартамент в София,200.1 кв.м,ЕПК/ПК,Not Available,3 етаж,Not Available
510000,"Манастирски Ливади, София",Многостаен апартамент в София,271.35 кв.м,Тухла,Not Available,7 етаж,Not Available
240000,"Драгалевци, София",Двустаен апартамент в София,100.76 кв.м,Тухла,Not Available,3 етаж,Not Available
1400000,"Драгалевци, София",Мезонет,562.75 кв.м,ЕПК/ПК,Not Available,4 етаж,Not Available
236998,"Манастирски Ливади, София",Тристаен апартамент в София,117 кв.м,Тухла,2026 г.,3 етаж,Непоследен
356626,"Медицинска академия, София",Тристаен апартамент в София,105 кв.м,Тухла,2026 г.,2 етаж,Непоследен
283356,"Медицинска академия, София",Двустаен апартамент в София,83 кв.м,Тухла,2026 г.,5 етаж,Непоследен
224400,"Карпузица, София",Тристаен апартамент в София,136 кв.м,Тухла,2025 г.,1 етаж,Непоследен
210000,"Медицинска академия, София",Двустаен апартамент в София,58 кв.м,Тухла,1950 г.,3 етаж,Непоследен
252000,"Младост 4, София",Двустаен апартамент в София,82 кв.м,Тухла,2022 г.,2 етаж,Непоследен
188000,"Връбница 2, София",Двустаен апартамент в София,65 кв.м,Тухла,2023 г.,7 етаж,Непоследен
146000,"Надежда 3, София",Тристаен апартамент в София,66 кв.м,Панел,1990 г.,1 етаж,Непоследен
239000,"Кръстова Вада, София",Тристаен апартамент в София,103 кв.м,Тухла,2025 г.,3 етаж,Непоследен
105000,"Люлин 5, София",Двустаен апартамент в София,42 кв.м,Панел,1980 г.,7 етаж,Непоследен
216164,"Малинова Долина, София",Многостаен апартамент в София,130 кв.м,Тухла,2028 г.,5 етаж,Последен етаж
213626,"Малинова Долина, София",Многостаен апартамент в София,130 кв.м,Тухла,2028 г.,4 етаж,Непоследен
145000,"Люлин 3, София",Двустаен апартамент в София,65 кв.м,Тухла,2025 г.,2 етаж,Непоследен
178000,"Кръстова Вада, София",Двустаен апартамент в София,75 кв.м,Тухла,2025 г.,4 етаж,Непоследен
189999,"Кръстова Вада, София",Тристаен апартамент в София,80 кв.м,Тухла,2025 г.,1 етаж,Първи жилищен
166000,"Люлин 3, София",Двустаен апартамент в София,65 кв.м,Тухла,2025 г.,3 етаж,Непоследен
74900,"Лозенец, София",Едностаен апартамент в София,15 кв.м,Тухла,1965 г.,4 етаж,Последен етаж
173000,"Малинова Долина, София",Двустаен апартамент в София,78 кв.м,Тухла,2024 г.,1 етаж,Партер
209000,"Малинова Долина, София",Двустаен апартамент в София,65 кв.м,Тухла,2025 г.,3 етаж,Непоследен
148000,"Люлин 5, София",Тристаен апартамент в София,86 кв.м,ЕПК/ПК,1990 г.,5 етаж,Непоследен
290000,"Лозенец, София",Двустаен апартамент в София,63 кв.м,Тухла,1973 г.,2 етаж,Непоследен
369707,"Лозенец, София",Тристаен апартамент в София,122 кв.м,Тухла,Not Available,6 етаж,Непоследен
362250,София,Тристаен апартамент в София,284 кв.м,Тухла,2026 г.,3 етаж,Последен етаж
239865,"Бояна, София",Тристаен апартамент в София,113.45 кв.м,Тухла,Not Available,1 етаж,Not Available
498830,"Бояна, София",Мезонет,175 кв.м,Тухла,Not Available,2 етаж,Not Available
299272,"Овча Купел, София",Тристаен апартамент в София,145 кв.м,Тухла,2025 г.,1 етаж,Непоследен
650000,"Изток, София",Многостаен апартамент в София,197 кв.м,Тухла,Not Available,2 етаж,Not Available
153000,"Люлин 6, София",Тристаен апартамент в София,100 кв.м,Тухла,2025 г.,4 етаж,Непоследен
129000,"Студентски Град, София",Двустаен апартамент в София,50 кв.м,Тухла,2016 г.,5 етаж,Непоследен
105000,"Студентски Град, София",Едностаен апартамент в София,40 кв.м,Тухла,2018 г.,Not Available,Първи жилищен
160000,"Малинова Долина, София",Двустаен апартамент в София,67 кв.м,Тухла,2024 г.,Not Available,Непоследен
153900,"Студентски Град, София",Двустаен апартамент в София,65 кв.м,Тухла,2012 г.,2 етаж,Непоследен
329999,"Лозенец, София",Тристаен апартамент в София,76 кв.м,Тухла,1965 г.,4 етаж,Непоследен
114990,"Люлин 3, София",Двустаен апартамент в София,49 кв.м,ЕПК/ПК,1981 г.,9 етаж,Непоследен
339999,"Стрелбище, София",Тристаен апартамент в София,100 кв.м,Тухла,2000 г.,5 етаж,Непоследен
220000,"Младост 1, София",Тристаен апартамент в София,77 кв.м,Тухла,1979 г.,3 етаж,Непоследен
259999,"Люлин Център, София",Тристаен апартамент в София,129 кв.м,Тухла,2022 г.,4 етаж,Непоследен
240000,"Бъкстон, София",Тристаен апартамент в София,99 кв.м,ЕПК/ПК,1980 г.,16 етаж,Непоследен
115000,"Редута, София",Едностаен апартамент в София,42 кв.м,Тухла,2012 г.,6 етаж,Последен етаж
210000,"Витоша, София",Тристаен апартамент в София,95 кв.м,Тухла,2025 г.,3 етаж,Непоследен
69990,"Малинова Долина, София",Двустаен апартамент в София,73 кв.м,Тухла,2023 г.,2 етаж,Непоследен
750000,"Лозенец, София",Многостаен апартамент в София,191 кв.м,Тухла,2025 г.,1 етаж,Партер
117500,"Модерно Предградие, София",Двустаен апартамент в София,66 кв.м,Панел,1985 г.,3 етаж,Непоследен
85000,"Ботунец, София",Двустаен апартамент в София,90 кв.м,Панел,1990 г.,6 етаж,Непоследен
152750,"Овча Купел, София",Двустаен апартамент в София,65 кв.м,Тухла,2025 г.,5 етаж,Непоследен
263450,"Витоша, София",Тристаен апартамент в София,119.75 кв.м,Тухла,2025 г.,Not Available,Непоследен
270000,"Студентски Град, София",Тристаен апартамент в София,90 кв.м,Тухла,2018 г.,6 етаж,Непоследен
175000,"Хаджи Димитър, София",Тристаен апартамент в София,65 кв.м,Панел,1986 г.,4 етаж,Непоследен
325000,"Дружба 2, София",Тристаен апартамент в София,95 кв.м,Тухла,2007 г.,8 етаж,Непоследен
272615,"Овча Купел, София",Многостаен апартамент в София,131 кв.м,Тухла,2025 г.,10 етаж,Последен етаж
209492,"Овча Купел, София",Тристаен апартамент в София,120 кв.м,Тухла,2025 г.,2 етаж,Непоследен
308933,"Малинова Долина, София",Многостаен апартамент в София,225 кв.м,Тухла,2024 г.,5 етаж,Последен етаж
234674,"Подуяне, София",Тристаен апартамент в София,107 кв.м,Тухла,2026 г.,4 етаж,Непоследен
256500,"Малинова Долина, София",Многостаен апартамент в София,172 кв.м,Тухла,2025 г.,5 етаж,Последен етаж
317228,"Малинова Долина, София",Тристаен апартамент в София,169 кв.м,Тухла,2025 г.,1 етаж,Партер
279035,"Малинова Долина, София",Двустаен апартамент в София,130 кв.м,Тухла,2025 г.,4 етаж,Непоследен
347645,"Манастирски Ливади, София",Многостаен апартамент в София,151 кв.м,Тухла,2024 г.,2 етаж,Първи жилищен
153489,"Малинова Долина, София",Двустаен апартамент в София,73 кв.м,Тухла,2026 г.,2 етаж,Непоследен
468000,"Бояна, София",Тристаен апартамент в София,170 кв.м,Тухла,2024 г.,2 етаж,Непоследен
155903,"Център, София",Едностаен апартамент в София,59.88 кв.м,Тухла,2026 г.,2 етаж,Непоследен
101900,"Люлин 5, София",Двустаен апартамент в София,71 кв.м,Тухла,2024 г.,Not Available,Непоследен
149000,"Младост 3, София",Двустаен апартамент в София,65 кв.м,Тухла,2025 г.,3 етаж,Непоследен
