price_total,location,property_type,square_meters,construction_type,construction_year,floor_number,floor_type
145000.0,Люлин 3,Двустаен,65.0,Тухла,2025.0,2.0,Непоследен
178000.0,Кръстова Вада,Двустаен,75.0,Тухла,2025.0,4.0,Непоследен
189999.0,Кръстова Вада,Тристаен,80.0,Тухла,2025.0,1.0,Първи жилищен
166000.0,Люлин 3,Двустаен,65.0,Тухла,2025.0,3.0,Непоследен
74900.0,Лозенец,Едностаен,15.0,Тухла,1965.0,4.0,Последен етаж
173000.0,Малинова Долина,Двустаен,78.0,Тухла,2024.0,1.0,Партер
209000.0,Малинова Долина,Двустаен,65.0,Тухла,2025.0,3.0,Непоследен
148000.0,Люлин 5,Тристаен,86.0,ЕПК/ПК,1990.0,5.0,Непоследен
290000.0,Лозенец,Двустаен,63.0,Тухла,1973.0,2.0,Непоследен
369707.0,Лозенец,Тристаен,122.0,Тухла,,6.0,Непоследен
362250.0,София,Тристаен,284.0,Тухла,2026.0,3.0,Последен етаж
239865.0,Бояна,Тристаен,11345.0,Тухла,,1.0,
498830.0,Бояна,Мезонет,175.0,Тухла,,2.0,
299272.0,Овча Купел,Тристаен,145.0,Тухла,2025.0,1.0,Непоследен
650000.0,Изток,Многостаен,197.0,Тухла,,2.0,
153000.0,Люлин 6,Тристаен,100.0,Тухла,2025.0,4.0,Непоследен
129000.0,Студентски Град,Двустаен,50.0,Тухла,2016.0,5.0,Непоследен
105000.0,Студентски Град,Едностаен,40.0,Тухла,2018.0,,Първи жилищен
160000.0,Малинова Долина,Двустаен,67.0,Тухла,2024.0,,Непоследен
153900.0,Студентски Град,Двустаен,65.0,Тухла,2012.0,2.0,Непоследен
329999.0,Лозенец,Тристаен,76.0,Тухла,1965.0,4.0,Непоследен
114990.0,Люлин 3,Двустаен,49.0,ЕПК/ПК,1981.0,9.0,Непоследен
339999.0,Стрелбище,Тристаен,100.0,Тухла,2000.0,5.0,Непоследен
220000.0,Младост 1,Тристаен,77.0,Тухла,1979.0,3.0,Непоследен
259999.0,Люлин Център,Тристаен,129.0,Тухла,2022.0,4.0,Непоследен
240000.0,Бъкстон,Тристаен,99.0,ЕПК/ПК,1980.0,16.0,Непоследен
115000.0,Редута,Едностаен,42.0,Тухла,2012.0,6.0,Последен етаж
210000.0,Витоша,Тристаен,95.0,Тухла,2025.0,3.0,Непоследен
69990.0,Малинова Долина,Двустаен,73.0,Тухла,2023.0,2.0,Непоследен
750000.0,Лозенец,Многостаен,191.0,Тухла,2025.0,1.0,Партер
117500.0,Модерно Предградие,Двустаен,66.0,Панел,1985.0,3.0,Непоследен
85000.0,Ботунец,Двустаен,90.0,Панел,1990.0,6.0,Непоследен
152750.0,Овча Купел,Двустаен,65.0,Тухла,2025.0,5.0,Непоследен
263450.0,Витоша,Тристаен,11975.0,Тухла,2025.0,,Непоследен
270000.0,Студентски Град,Тристаен,90.0,Тухла,2018.0,6.0,Непоследен
175000.0,Хаджи Димитър,Тристаен,65.0,Панел,1986.0,4.0,Непоследен
325000.0,Дружба 2,Тристаен,95.0,Тухла,2007.0,8.0,Непоследен
272615.0,Овча Купел,Многостаен,131.0,Тухла,2025.0,10.0,Последен етаж
209492.0,Овча Купел,Тристаен,120.0,Тухла,2025.0,2.0,Непоследен
308933.0,Малинова Долина,Многостаен,225.0,Тухла,2024.0,5.0,Последен етаж
